ticket_number,date,time,article,Quantity,unit_price_euro,revenue
150045,1/2/2021,9:32,TRADITIONAL BAGUETTE,3,1.2,3.6
150046,1/2/2021,9:37,TRADITIONAL BAGUETTE,6,1.2,7.2
150049,1/2/2021,9:40,CROISSANT,2,1.1,2.2
150049,1/2/2021,9:40,TRADITIONAL BAGUETTE,1,1.2,1.2
150051,1/2/2021,9:46,PAIN,1,1.15,1.15
150052,1/2/2021,9:48,SPECIAL BREAD,1,2.4,2.4
150054,1/2/2021,9:49,KOUIGN AMANN,1,2.1,2.1
150055,1/2/2021,9:57,TRADITIONAL BAGUETTE,4,1.2,4.8
150056,1/2/2021,9:58,BANETTE,3,1.05,3.15
150058,1/2/2021,10:03,CROISSANT,2,1.1,2.2
150058,1/2/2021,10:03,PAIN AU CHOCOLAT,2,1.2,2.4
150059,1/2/2021,10:04,TRADITIONAL BAGUETTE,4,1.2,4.8
150060,1/2/2021,10:05,TRADITIONAL BAGUETTE,4,1.2,4.8
150061,1/2/2021,10:12,SPECIAL BREAD,1,2.4,2.4
150062,1/2/2021,10:17,SPECIAL BREAD,1,2.4,2.4
150063,1/2/2021,10:18,TRADITIONAL BAGUETTE,2,1.2,2.4
150063,1/2/2021,10:18,GAL FRANGIPANE 6P,1,12,12
150063,1/2/2021,10:18,MOISSON,1,2,2
150063,1/2/2021,10:18,COUPE,1,0.15,0.15
150065,1/2/2021,10:22,SAND JB EMMENTAL,1,3.5,3.5
150066,1/2/2021,10:24,BAGUETTE,1,0.9,0.9
150066,1/2/2021,10:24,PAIN AU CHOCOLAT,2,1.2,2.4
150066,1/2/2021,10:24,TRADITIONAL BAGUETTE,1,1.2,1.2
150066,1/2/2021,10:24,CROISSANT,2,1.1,2.2
150069,1/2/2021,10:29,KOUIGN AMANN,2,2.1,4.2
150070,1/2/2021,10:33,BANETTE,1,1.05,1.05
150070,1/2/2021,10:33,PAIN AU CHOCOLAT,2,1.2,2.4
150071,1/2/2021,10:34,CROISSANT,2,1.1,2.2
150071,1/2/2021,10:34,TRADITIONAL BAGUETTE,2,1.2,2.4
150074,1/2/2021,10:42,BANETTINE,1,0.6,0.6
150075,1/2/2021,10:44,COUPE,1,0.15,0.15
150075,1/2/2021,10:44,SEIGLE,1,1.8,1.8
150076,1/2/2021,10:46,TRADITIONAL BAGUETTE,2,1.2,2.4
150077,1/2/2021,10:49,PAIN AU CHOCOLAT,2,1.2,2.4
150078,1/2/2021,10:50,TRADITIONAL BAGUETTE,1,1.2,1.2
150079,1/2/2021,10:51,GAL FRANGIPANE 4P,1,8,8
150079,1/2/2021,10:51,SPECIAL BREAD,1,2.4,2.4
150081,1/2/2021,10:54,TRADITIONAL BAGUETTE,1,1.2,1.2
150082,1/2/2021,10:54,TRADITIONAL BAGUETTE,4,1.2,4.8
150083,1/2/2021,10:54,TRADITIONAL BAGUETTE,1,1.2,1.2
150084,1/2/2021,10:55,PAIN AU CHOCOLAT,4,1.2,4.8
150084,1/2/2021,10:55,COOKIE,1,1,1
150084,1/2/2021,10:55,CEREAL BAGUETTE,1,1.25,1.25
150085,1/2/2021,10:56,TRADITIONAL BAGUETTE,4,1.2,4.8
150086,1/2/2021,10:57,CROISSANT,2,1.1,2.2
150086,1/2/2021,10:57,PAIN AU CHOCOLAT,1,1.2,1.2
150086,1/2/2021,10:57,CEREAL BAGUETTE,1,1.25,1.25
150088,1/2/2021,11:04,TRADITIONAL BAGUETTE,2,1.2,2.4
150089,1/2/2021,11:06,BAGUETTE,1,0.9,0.9
150090,1/2/2021,11:08,TRADITIONAL BAGUETTE,2,1.2,2.4
150090,1/2/2021,11:08,CROISSANT,1,1.1,1.1
150091,1/2/2021,11:13,TRADITIONAL BAGUETTE,5,1.2,6
150091,1/2/2021,11:13,BRIOCHE,1,5,5
150091,1/2/2021,11:13,SEIGLE,1,1.8,1.8
150092,1/2/2021,11:14,CROISSANT,6,1.1,6.6
150093,1/2/2021,11:14,FICELLE,1,0.6,0.6
150093,1/2/2021,11:14,TRADITIONAL BAGUETTE,1,1.2,1.2
150094,1/2/2021,11:15,BANETTE,5,1.05,5.25
150095,1/2/2021,11:16,CROISSANT,2,1.1,2.2
150095,1/2/2021,11:16,PAIN AUX RAISINS,1,1.4,1.4
150095,1/2/2021,11:16,PAIN AU CHOCOLAT,4,1.2,4.8
150098,1/2/2021,11:19,FICELLE,1,0.6,0.6
150098,1/2/2021,11:19,PAIN AU CHOCOLAT,1,1.2,1.2
150098,1/2/2021,11:19,CROISSANT,1,1.1,1.1
150099,1/2/2021,11:19,BANETTE,1,1.05,1.05
150100,1/2/2021,11:20,COUPE,1,0.15,0.15
150103,1/2/2021,11:23,GAL POMME 4P,1,8,8
150105,1/2/2021,11:25,GAL FRANGIPANE 6P,1,12,12
150105,1/2/2021,11:25,TRADITIONAL BAGUETTE,2,1.2,2.4
150105,1/2/2021,11:25,BANETTE,1,1.05,1.05
150107,1/2/2021,11:29,BAGUETTE,2,0.9,1.8
150109,1/2/2021,11:30,VIK BREAD,2,2.5,5
150109,1/2/2021,11:30,SEIGLE,1,1.8,1.8
150111,1/2/2021,11:34,TRADITIONAL BAGUETTE,1,1.2,1.2
150112,1/2/2021,11:34,GAL POMME 6P,1,12,12
150112,1/2/2021,11:34,BAGUETTE,2,0.9,1.8
150112,1/2/2021,11:34,BANETTE,1,1.05,1.05
150115,1/2/2021,11:45,BANETTE,2,1.05,2.1
150116,1/2/2021,11:45,BAGUETTE,4,0.9,3.6
150117,1/2/2021,11:46,BAGUETTE,1,0.9,0.9
150120,1/2/2021,11:49,TRADITIONAL BAGUETTE,5,1.2,6
150121,1/2/2021,11:49,BANETTE,2,1.05,2.1
150122,1/2/2021,11:50,VIK BREAD,1,2.5,2.5
150122,1/2/2021,11:50,GACHE,1,5,5
150122,1/2/2021,11:50,TRADITIONAL BAGUETTE,1,1.2,1.2
150123,1/2/2021,11:51,GAL FRANGIPANE 6P,1,12,12
150125,1/2/2021,11:52,COUPE,2,0.15,0.3
150125,1/2/2021,11:52,COMPLET,2,1.5,3
150127,1/2/2021,11:53,TRADITIONAL BAGUETTE,1,1.2,1.2
150129,1/2/2021,11:58,BANETTE,2,1.05,2.1
150130,1/2/2021,11:59,BANETTE,1,1.05,1.05
150131,1/2/2021,12:00,TRADITIONAL BAGUETTE,1,1.2,1.2
150132,1/2/2021,12:01,TRADITIONAL BAGUETTE,1,1.2,1.2
150133,1/2/2021,12:03,BANETTINE,1,0.6,0.6
150133,1/2/2021,12:03,COUPE,1,0.15,0.15
150135,1/2/2021,12:08,SANDWICH COMPLET,2,4.5,9
150137,1/2/2021,12:09,TRADITIONAL BAGUETTE,2,1.2,2.4
150138,1/2/2021,12:10,GAL FRANGIPANE 4P,1,8,8
150139,1/2/2021,12:11,GRAND FAR BRETON,1,7,7
150139,1/2/2021,12:11,BANETTE,2,1.05,2.1
150140,1/2/2021,12:12,CAMPAGNE,1,1.8,1.8
150140,1/2/2021,12:12,COUPE,1,0.15,0.15
150141,1/2/2021,12:12,BAGUETTE,1,0.9,0.9
150144,1/2/2021,12:15,COUPE,1,0.15,0.15
150146,1/2/2021,12:18,COUPE,1,0.15,0.15
150147,1/2/2021,12:19,TRADITIONAL BAGUETTE,4,1.2,4.8
150148,1/2/2021,12:20,BAGUETTE,2,0.9,1.8
150149,1/2/2021,12:21,TRADITIONAL BAGUETTE,1,1.2,1.2
150150,1/2/2021,12:21,BAGUETTE,1,0.9,0.9
150152,1/2/2021,12:22,BAGUETTE,2,0.9,1.8
150153,1/2/2021,12:22,COUPE,1,0.15,0.15
150154,1/2/2021,12:23,COMPLET,1,1.5,1.5
150154,1/2/2021,12:23,TRADITIONAL BAGUETTE,1,1.2,1.2
150154,1/2/2021,12:23,TRADITIONAL BAGUETTE,1,1.2,1.2
150155,1/2/2021,12:23,GRAND FAR BRETON,1,7,7
150155,1/2/2021,12:23,BAGUETTE,1,0.9,0.9
150159,1/2/2021,12:28,TRADITIONAL BAGUETTE,4,1.2,4.8
150159,1/2/2021,12:28,MOISSON,1,2,2
150159,1/2/2021,12:28,FICELLE,2,0.6,1.2
150159,1/2/2021,12:28,GAL FRANGIPANE 4P,1,8,8
150159,1/2/2021,12:28,COUPE,1,0.15,0.15
150161,1/2/2021,12:29,TRADITIONAL BAGUETTE,1,1.2,1.2
150162,1/2/2021,12:32,PAIN AUX RAISINS,2,1.4,2.8
150162,1/2/2021,12:32,COUPE,5,0.15,0.75
150163,1/2/2021,12:33,BOULE 400G,1,1.5,1.5
150163,1/2/2021,12:33,COUPE,1,0.15,0.15
150165,1/2/2021,12:36,BANETTE,2,1.05,2.1
150165,1/2/2021,12:36,QUIM BREAD,1,1,1
150166,1/2/2021,12:36,BANETTE,1,1.05,1.05
150168,1/2/2021,12:38,TRADITIONAL BAGUETTE,2,1.2,2.4
150169,1/2/2021,12:38,TRADITIONAL BAGUETTE,2,1.2,2.4
150171,1/2/2021,12:39,BANETTE,2,1.05,2.1
150173,1/2/2021,12:40,CEREAL BAGUETTE,1,1.25,1.25
150173,1/2/2021,12:40,GD KOUIGN AMANN,1,7.5,7.5
150173,1/2/2021,12:40,BOULE 400G,1,1.5,1.5
150175,1/2/2021,12:42,KOUIGN AMANN,1,2.1,2.1
150177,1/2/2021,12:43,COUPE,1,0.15,0.15
150179,1/2/2021,12:44,BANETTE,2,1.05,2.1
150181,1/2/2021,12:45,BAGUETTE,1,0.9,0.9
150182,1/2/2021,12:46,PAIN BANETTE,1,1.4,1.4
150184,1/2/2021,12:48,GAL POMME 4P,1,8,8
150185,1/2/2021,12:50,GAL POMME 4P,1,8,8
150187,1/2/2021,12:51,CEREAL BAGUETTE,6,1.25,7.5
150189,1/2/2021,12:54,PAIN BANETTE,1,1.4,1.4
150189,1/2/2021,12:54,BANETTE,1,1.05,1.05
150189,1/2/2021,12:54,PAIN AU CHOCOLAT,3,1.2,3.6
150190,1/2/2021,12:55,BAGUETTE,2,0.9,1.8
150190,1/2/2021,12:55,GAL POMME 4P,1,8,8
150191,1/2/2021,12:55,TRADITIONAL BAGUETTE,1,1.2,1.2
150191,1/2/2021,12:55,BAGUETTE,1,0.9,0.9
150192,1/2/2021,12:56,BOULE POLKA,1,1.6,1.6
150193,1/2/2021,12:57,VIK BREAD,1,2.5,2.5
150193,1/2/2021,12:57,COUPE,1,0.15,0.15
150193,1/2/2021,12:57,CEREAL BAGUETTE,1,1.25,1.25
150194,1/2/2021,12:58,BAGUETTE,1,0.9,0.9
150196,1/2/2021,12:59,CAMPAGNE,1,1.8,1.8
150197,1/2/2021,13:00,BAGUETTE,2,0.9,1.8
150198,1/2/2021,13:01,BAGUETTE,2,0.9,1.8
150199,1/2/2021,13:03,COUPE,1,0.15,0.15
150199,1/2/2021,13:03,KOUIGN AMANN,2,2.1,4.2
150200,1/2/2021,13:05,COUPE,1,0.15,0.15
150202,1/2/2021,13:07,VIK BREAD,1,2.5,2.5
150202,1/2/2021,13:07,COUPE,1,0.15,0.15
150202,1/2/2021,13:07,BANETTINE,1,0.6,0.6
150204,1/2/2021,13:10,GRAND FAR BRETON,2,7,14
150205,1/2/2021,13:14,CAMPAGNE,1,1.8,1.8
150206,1/2/2021,13:17,CAMPAGNE,1,1.8,1.8
150206,1/2/2021,13:17,MOISSON,1,2,2
150206,1/2/2021,13:17,COUPE,1,0.15,0.15
150206,1/2/2021,13:17,GD KOUIGN AMANN,1,7.5,7.5
150206,1/2/2021,13:17,COUPE,1,0.15,0.15
150207,1/2/2021,13:19,COUPE,1,0.15,0.15
150208,1/2/2021,13:19,BOULE 200G,1,1.1,1.1
150209,1/2/2021,13:21,COUPE,1,0.15,0.15
150210,1/2/2021,13:22,COUPE,1,0.15,0.15
150210,1/2/2021,13:22,CAMPAGNE,1,1.8,1.8
150211,1/2/2021,13:24,GAL POMME 4P,1,8,8
150211,1/2/2021,13:24,COUPE,1,0.15,0.15
150213,1/2/2021,13:25,GAL POMME 4P,1,8,8
150216,1/2/2021,13:33,BOULE 200G,1,1.1,1.1
150218,1/2/2021,13:39,COUPE,1,0.15,0.15
150218,1/2/2021,13:39,CAMPAGNE,1,1.8,1.8
150219,1/2/2021,13:40,QUIM BREAD,2,1,2
150219,1/2/2021,13:40,PAIN AU CHOCOLAT,3,1.2,3.6
150219,1/2/2021,13:40,CROISSANT,1,1.1,1.1
150219,1/2/2021,13:40,GAL FRANGIPANE 6P,1,12,12
150220,1/2/2021,13:41,CAMPAGNE,1,1.8,1.8
150221,1/2/2021,13:42,COMPLET,1,1.5,1.5
150222,1/2/2021,13:44,COUPE,1,0.15,0.15
150222,1/2/2021,13:44,VIK BREAD,1,2.5,2.5
150224,1/2/2021,13:55,CAMPAGNE,1,1.8,1.8
150227,1/3/2021,8:48,BANETTE,1,1.05,1.05
150228,1/3/2021,8:58,DEMI BAGUETTE,1,0.45,0.45
150229,1/3/2021,9:00,TRADITIONAL BAGUETTE,1,1.2,1.2
150231,1/3/2021,9:18,CROISSANT,2,1.1,2.2
150232,1/3/2021,9:19,PAIN AU CHOCOLAT,3,1.2,3.6
150232,1/3/2021,9:19,GAL FRANGIPANE 4P,1,8,8
150233,1/3/2021,9:23,BANETTE,1,1.05,1.05
150234,1/3/2021,9:28,GAL FRANGIPANE 4P,1,8,8
150235,1/3/2021,9:29,PAIN AU CHOCOLAT,1,1.2,1.2
150236,1/3/2021,9:33,GD KOUIGN AMANN,2,7.5,15
150237,1/3/2021,9:33,BANETTINE,1,0.6,0.6
150239,1/3/2021,9:37,PAIN AU CHOCOLAT,4,1.2,4.8
150244,1/3/2021,9:50,TRADITIONAL BAGUETTE,4,1.2,4.8
150245,1/3/2021,9:51,PAIN AU CHOCOLAT,2,1.2,2.4
150247,1/3/2021,9:53,BANETTINE,1,0.6,0.6
150248,1/3/2021,9:58,BAGUETTE,1,0.9,0.9
150249,1/3/2021,9:59,GAL FRANGIPANE 4P,1,8,8
150249,1/3/2021,9:59,COUPE,1,0.15,0.15
150249,1/3/2021,9:59,TRADITIONAL BAGUETTE,1,1.2,1.2
150250,1/3/2021,10:04,CROISSANT,1,1.1,1.1
150250,1/3/2021,10:04,TRADITIONAL BAGUETTE,1,1.2,1.2
150250,1/3/2021,10:04,FICELLE,1,0.6,0.6
150252,1/3/2021,10:24,CROISSANT,6,1.1,6.6
150252,1/3/2021,10:24,TRADITIONAL BAGUETTE,3,1.2,3.6
150253,1/3/2021,10:24,BANETTE,2,1.05,2.1
150255,1/3/2021,10:26,TRADITIONAL BAGUETTE,2,1.2,2.4
150256,1/3/2021,10:27,BRIOCHE,1,5,5
150257,1/3/2021,10:27,TRADITIONAL BAGUETTE,4,1.2,4.8
150258,1/3/2021,10:31,PAIN AU CHOCOLAT,2,1.2,2.4
150258,1/3/2021,10:31,COUPE,1,0.15,0.15
150258,1/3/2021,10:31,TRADITIONAL BAGUETTE,1,1.2,1.2
150258,1/3/2021,10:31,CROISSANT,2,1.1,2.2
150260,1/3/2021,10:32,TRADITIONAL BAGUETTE,1,1.2,1.2
150260,1/3/2021,10:32,GAL FRANGIPANE 6P,1,12,12
150261,1/3/2021,10:38,CHAUSSON AUX POMMES,1,1.4,1.4
150261,1/3/2021,10:38,KOUIGN AMANN,1,2.1,2.1
150261,1/3/2021,10:38,PAIN AU CHOCOLAT,2,1.2,2.4
150263,1/3/2021,10:40,COUPE,1,0.15,0.15
150263,1/3/2021,10:40,BOULE 200G,1,1.1,1.1
150264,1/3/2021,10:41,BAGUETTE,1,0.9,0.9
150266,1/3/2021,10:41,BAGUETTE,1,0.9,0.9
150267,1/3/2021,10:42,TRADITIONAL BAGUETTE,2,1.2,2.4
150268,1/3/2021,10:43,TRADITIONAL BAGUETTE,2,1.2,2.4
150269,1/3/2021,10:43,BANETTINE,1,0.6,0.6
150270,1/3/2021,10:43,BAGUETTE GRAINE,2,1.3,2.6
150272,1/3/2021,10:49,TRADITIONAL BAGUETTE,2,1.2,2.4
150275,1/3/2021,10:52,BOULE 400G,1,1.5,1.5
150276,1/3/2021,10:53,BAGUETTE,1,0.9,0.9
150276,1/3/2021,10:53,DEMI BAGUETTE,1,0.45,0.45
150277,1/3/2021,10:55,GAL POMME 4P,1,8,8
150278,1/3/2021,10:56,CROISSANT,4,1.1,4.4
150279,1/3/2021,10:56,BAGUETTE,1,0.9,0.9
150281,1/3/2021,10:58,TRADITIONAL BAGUETTE,2,1.2,2.4
150282,1/3/2021,11:01,BANETTE,1,1.05,1.05
150283,1/3/2021,11:04,TRADITIONAL BAGUETTE,1,1.2,1.2
150285,1/3/2021,11:07,CROISSANT,3,1.1,3.3
150286,1/3/2021,11:08,TRADITIONAL BAGUETTE,1,1.2,1.2
150287,1/3/2021,11:09,GAL FRANGIPANE 6P,1,12,12
150287,1/3/2021,11:09,BAGUETTE,1,0.9,0.9
150290,1/3/2021,11:15,CROISSANT,1,1.1,1.1
150291,1/3/2021,11:16,TRADITIONAL BAGUETTE,1,1.2,1.2
150291,1/3/2021,11:16,DIVERS CONFISERIE,1,3,3
150292,1/3/2021,11:17,TRADITIONAL BAGUETTE,1,1.2,1.2
150293,1/3/2021,11:18,COUPE,1,0.15,0.15
150293,1/3/2021,11:18,BOULE 400G,1,1.5,1.5
150294,1/3/2021,11:19,QUIM BREAD,1,1,1
150295,1/3/2021,11:22,TRADITIONAL BAGUETTE,1,1.2,1.2
150296,1/3/2021,11:23,TRADITIONAL BAGUETTE,1,1.2,1.2
